;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=5
[Data]
it ꀀ
ix ꀁ
i ꀂ
ip ꀃ
iet ꀄ
iex ꀅ
ie ꀆ
iep ꀇ
at ꀈ
ax ꀉ
a ꀊ
ap ꀋ
uox ꀌ
uo ꀍ
uop ꀎ
ot ꀏ
ox ꀐ
o ꀑ
op ꀒ
ex ꀓ
e ꀔ
w ꀕ
bit ꀖ
bix ꀗ
bi ꀘ
bip ꀙ
biet ꀚ
biex ꀛ
bie ꀜ
biep ꀝ
bat ꀞ
bax ꀟ
ba ꀠ
bap ꀡ
buox ꀢ
buo ꀣ
buop ꀤ
bot ꀥ
box ꀦ
bo ꀧ
bop ꀨ
bex ꀩ
be ꀪ
bep ꀫ
but ꀬ
bux ꀭ
bu ꀮ
bup ꀯ
burx ꀰ
bur ꀱ
byt ꀲ
byx ꀳ
by ꀴ
byp ꀵ
byrx ꀶ
byr ꀷ
pit ꀸ
pix ꀹ
pi ꀺ
pip ꀻ
piex ꀼ
pie ꀽ
piep ꀾ
pat ꀿ
pax ꁀ
pa ꁁ
pap ꁂ
puox ꁃ
puo ꁄ
puop ꁅ
pot ꁆ
pox ꁇ
po ꁈ
pop ꁉ
put ꁊ
pux ꁋ
pu ꁌ
pup ꁍ
purx ꁎ
pur ꁏ
pyt ꁐ
pyx ꁑ
py ꁒ
pyp ꁓ
pyrx ꁔ
pyr ꁕ
bbit ꁖ
bbix ꁗ
bbi ꁘ
bbip ꁙ
bbiet ꁚ
bbiex ꁛ
bbie ꁜ
bbiep ꁝ
bbat ꁞ
bbax ꁟ
bba ꁠ
bbap ꁡ
bbuox ꁢ
bbuo ꁣ
bbuop ꁤ
bbot ꁥ
bbox ꁦ
bbo ꁧ
bbop ꁨ
bbex ꁩ
bbe ꁪ
bbep ꁫ
bbut ꁬ
bbux ꁭ
bbu ꁮ
bbup ꁯ
bburx ꁰ
bbur ꁱ
bbyt ꁲ
bbyx ꁳ
bby ꁴ
bbyp ꁵ
nbit ꁶ
nbix ꁷ
nbi ꁸ
nbip ꁹ
nbiex ꁺ
nbie ꁻ
nbiep ꁼ
nbat ꁽ
nbax ꁾ
nba ꁿ
nbap ꂀ
nbot ꂁ
nbox ꂂ
nbo ꂃ
nbop ꂄ
nbut ꂅ
nbux ꂆ
nbu ꂇ
nbup ꂈ
nburx ꂉ
nbur ꂊ
nbyt ꂋ
nbyx ꂌ
nby ꂍ
nbyp ꂎ
nbyrx ꂏ
nbyr ꂐ
hmit ꂑ
hmix ꂒ
hmi ꂓ
hmip ꂔ
hmiex ꂕ
hmie ꂖ
hmiep ꂗ
hmat ꂘ
hmax ꂙ
hma ꂚ
hmap ꂛ
hmuox ꂜ
hmuo ꂝ
hmuop ꂞ
hmot ꂟ
hmox ꂠ
hmo ꂡ
hmop ꂢ
hmut ꂣ
hmux ꂤ
hmu ꂥ
hmup ꂦ
hmurx ꂧ
hmur ꂨ
hmyx ꂩ
hmy ꂪ
hmyp ꂫ
hmyrx ꂬ
hmyr ꂭ
mit ꂮ
mix ꂯ
mi ꂰ
mip ꂱ
miex ꂲ
mie ꂳ
miep ꂴ
mat ꂵ
max ꂶ
ma ꂷ
map ꂸ
muot ꂹ
muox ꂺ
muo ꂻ
muop ꂼ
mot ꂽ
mox ꂾ
mo ꂿ
mop ꃀ
mex ꃁ
me ꃂ
mut ꃃ
mux ꃄ
mu ꃅ
mup ꃆ
murx ꃇ
mur ꃈ
myt ꃉ
myx ꃊ
my ꃋ
myp ꃌ
fit ꃍ
fix ꃎ
fi ꃏ
fip ꃐ
fat ꃑ
fax ꃒ
fa ꃓ
fap ꃔ
fox ꃕ
fo ꃖ
fop ꃗ
fut ꃘ
fux ꃙ
fu ꃚ
fup ꃛ
furx ꃜ
fur ꃝ
fyt ꃞ
fyx ꃟ
fy ꃠ
fyp ꃡ
vit ꃢ
vix ꃣ
vi ꃤ
vip ꃥ
viet ꃦ
viex ꃧ
vie ꃨ
viep ꃩ
vat ꃪ
vax ꃫ
va ꃬ
vap ꃭ
vot ꃮ
vox ꃯ
vo ꃰ
vop ꃱ
vex ꃲ
vep ꃳ
vut ꃴ
vux ꃵ
vu ꃶ
vup ꃷ
vurx ꃸ
vur ꃹ
vyt ꃺ
vyx ꃻ
vy ꃼ
vyp ꃽ
vyrx ꃾ
vyr ꃿ
dit ꄀ
dix ꄁ
di ꄂ
dip ꄃ
diex ꄄ
die ꄅ
diep ꄆ
dat ꄇ
dax ꄈ
da ꄉ
dap ꄊ
duox ꄋ
duo ꄌ
dot ꄍ
dox ꄎ
do ꄏ
dop ꄐ
dex ꄑ
de ꄒ
dep ꄓ
dut ꄔ
dux ꄕ
du ꄖ
dup ꄗ
durx ꄘ
dur ꄙ
tit ꄚ
tix ꄛ
ti ꄜ
tip ꄝ
tiex ꄞ
tie ꄟ
tiep ꄠ
tat ꄡ
tax ꄢ
ta ꄣ
tap ꄤ
tuot ꄥ
tuox ꄦ
tuo ꄧ
tuop ꄨ
tot ꄩ
tox ꄪ
to ꄫ
top ꄬ
tex ꄭ
te ꄮ
tep ꄯ
tut ꄰ
tux ꄱ
tu ꄲ
tup ꄳ
turx ꄴ
tur ꄵ
ddit ꄶ
ddix ꄷ
ddi ꄸ
ddip ꄹ
ddiex ꄺ
ddie ꄻ
ddiep ꄼ
ddat ꄽ
ddax ꄾ
dda ꄿ
ddap ꅀ
dduox ꅁ
dduo ꅂ
dduop ꅃ
ddot ꅄ
ddox ꅅ
ddo ꅆ
ddop ꅇ
ddex ꅈ
dde ꅉ
ddep ꅊ
ddut ꅋ
ddux ꅌ
ddu ꅍ
ddup ꅎ
ddurx ꅏ
ddur ꅐ
ndit ꅑ
ndix ꅒ
ndi ꅓ
ndip ꅔ
ndiex ꅕ
ndie ꅖ
ndat ꅗ
ndax ꅘ
nda ꅙ
ndap ꅚ
ndot ꅛ
ndox ꅜ
ndo ꅝ
ndop ꅞ
ndex ꅟ
nde ꅠ
ndep ꅡ
ndut ꅢ
ndux ꅣ
ndu ꅤ
ndup ꅥ
ndurx ꅦ
ndur ꅧ
hnit ꅨ
hnix ꅩ
hni ꅪ
hnip ꅫ
hniet ꅬ
hniex ꅭ
hnie ꅮ
hniep ꅯ
hnat ꅰ
hnax ꅱ
hna ꅲ
hnap ꅳ
hnuox ꅴ
hnuo ꅵ
hnot ꅶ
hnox ꅷ
hnop ꅸ
hnex ꅹ
hne ꅺ
hnep ꅻ
hnut ꅼ
nit ꅽ
nix ꅾ
ni ꅿ
nip ꆀ
niex ꆁ
nie ꆂ
niep ꆃ
nax ꆄ
na ꆅ
nap ꆆ
nuox ꆇ
nuo ꆈ
nuop ꆉ
not ꆊ
nox ꆋ
no ꆌ
nop ꆍ
nex ꆎ
ne ꆏ
nep ꆐ
nut ꆑ
nux ꆒ
nu ꆓ
nup ꆔ
nurx ꆕ
nur ꆖ
hlit ꆗ
hlix ꆘ
hli ꆙ
hlip ꆚ
hliex ꆛ
hlie ꆜ
hliep ꆝ
hlat ꆞ
hlax ꆟ
hla ꆠ
hlap ꆡ
hluox ꆢ
hluo ꆣ
hluop ꆤ
hlox ꆥ
hlo ꆦ
hlop ꆧ
hlex ꆨ
hle ꆩ
hlep ꆪ
hlut ꆫ
hlux ꆬ
hlu ꆭ
hlup ꆮ
hlurx ꆯ
hlur ꆰ
hlyt ꆱ
hlyx ꆲ
hly ꆳ
hlyp ꆴ
hlyrx ꆵ
hlyr ꆶ
lit ꆷ
lix ꆸ
li ꆹ
lip ꆺ
liet ꆻ
liex ꆼ
lie ꆽ
liep ꆾ
lat ꆿ
lax ꇀ
la ꇁ
lap ꇂ
luot ꇃ
luox ꇄ
luo ꇅ
luop ꇆ
lot ꇇ
lox ꇈ
